X,Y,Theta,Speed,Steering
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.014806773341578785
0.0037089000000000002,0.0,0.00021204573270342886,0.31383,0.022210160012368176
0.07784932171822678,0.0004904327871710773,0.0028615634020335377,1.2533794206165747,0.025880321274673657
0.23618234205021343,0.00242370135643829,0.00949111100827191,1.92694882543036,0.027302384845371175
0.44911827413876826,0.006373542702200942,0.0183868925654454,2.3407619051117825,0.02738751072575006
0.6955622913277328,0.013011735944811077,0.028807043320121226,2.5949914821852316,0.026211769153870024
0.9625325442383413,0.022855373479890986,0.04027799761231738,2.7511795802238495,0.02393392427238722
1.2420298904178173,0.036259771448317116,0.052466664672831925,2.847135063648476,0.020715302789911683
1.5291162252563624,0.0534507410541208,0.06513416912091806,2.906086129157816,0.01581219220682893
1.8207346007377965,0.07456130714807162,0.07811365798392618,2.9423032165055782,0.010510368785063692
2.1150564405442456,0.0988239840288414,0.08342595832782239,2.964553491451798,0.00422312439092684
2.4113360490244156,0.12120630532328255,0.07033520321308757,2.9782231366783347,0.0001493754360816263
2.7089705681736524,0.14007206899525734,0.05690836949795619,2.9866211992223266,-0.003168755160425013
3.007508497213841,0.15503792053834384,0.04347117163513697,2.9917806202112405,-0.00819268083419757
3.306673622821827,0.16475947579767078,0.018889168293194127,2.9949503542780445,-0.025408179176150472
3.606229633020589,0.16332009707339482,-0.029455161007480045,2.996897707299992,-0.0528643365772761
3.902071373431945,0.142132921164086,-0.11714925396386568,2.9407673665919614,-0.09904819804986933
4.180255540075068,0.08989865145680785,-0.254612146545359,2.739246998141828,-0.13824264222498298
4.426503057780546,0.0045605140245628,-0.4007002677505983,2.4988669119348073,-0.15588031746961994
4.630257810707605,-0.10358319906746401,-0.5431774877218818,2.1485511249902953,-0.17403975694612184
4.7988155158867665,-0.2312663567671252,-0.6680673858546753,2.095541479770648,-0.1788021990177936
4.950903760689896,-0.3753488925755153,-0.7665540914066765,2.097457732951748,-0.16653704624479038
5.0904352288966885,-0.5328081978320355,-0.8547011102760095,2.113485079195327,-0.1589549250863726
5.217256467916401,-0.7040916463036542,-0.9432437302588811,2.1546095351574714,-0.1539158037079903
5.330599417010015,-0.8892486737937321,-1.0333220205217102,2.1902694698241905,-0.14901648269780665
5.428316152523208,-1.086581456342958,-1.1248395241520095,2.216122880872132,-0.1428074496161421
5.509405624330536,-1.2942155959094466,-1.21045672126293,2.2451795058902033,-0.134463946920129
5.576744072108889,-1.5112820695391338,-1.2831316247550693,2.3074542658546817,-0.12446883703422532
5.630423592211204,-1.741409875372879,-1.356862400706754,2.431618376940287,-0.1142316666179892
5.670966524833546,-1.9898827509624766,-1.4234273408302294,2.6201011274661385,-0.102706929795601
5.700019690289261,-2.2572667407586215,-1.4814883868331157,2.764885810902188,-0.09262605829960194
5.714602742573132,-2.5377808387743905,-1.5427542978965676,2.855555602775242,-0.0808937578371847
5.71315333889069,-2.8260327956578526,-1.5986107431957577,2.9112593588260904,-0.06730336898170977
5.6991916094494925,-3.1184826848707656,-1.6378361365072838,2.9454814340517266,-0.05265587143848504
5.674697897287875,-3.413036763828674,-1.6664022001956849,2.9665060563712706,-0.03913462900786898
5.64459412502564,-3.7087894042052687,-1.6797730909727853,2.9794227115058582,-0.026105524238712242
5.610170660458798,-4.005125666120441,-1.6931266609801918,2.9873581681970722,-0.016323876038618613
5.572518097314586,-4.301719464744756,-1.698607085216523,2.9922333833547112,-0.00641304909866393
5.5367596381091735,-4.598944932981418,-1.6853686134474162,2.9952285131573335,0.0010370223654411507
5.504588523305063,-4.896823679132896,-1.6718379996847352,2.997068596567908,0.006099413778297563
5.476373297439971,-5.195252920041499,-1.6583388231596425,2.998199067425935,0.008139796871034232
5.452173262363626,-5.494126529804045,-1.6448383979414587,2.998893581790613,0.009768364708933028
5.432004742096604,-5.793355685052778,-1.6313344671757455,2.9993202625841224,0.009735406521114737
5.415876174327398,-6.092864420410557,-1.617828082946466,2.9995823975503804,0.009587762071184246
5.403793004597202,-6.392584896087404,-1.6043201589207376,2.9997434423913485,0.00829261165569332
5.3957588401631,-6.692454291439047,-1.5908112852891612,2.9998423816560056,0.006758456902003917
5.39177593862223,-6.9924128761797215,-1.5773018278186035,2.9999031658328357,0.004388928387139653
5.390997105735979,-7.292403529295165,-1.5717671884360818,2.9999405091076783,0.0015485821741920104
5.3882781089974365,-7.592385020857846,-1.585046240987878,2.9999634512654687,-0.0006884028860264775
5.382759167892815,-7.892330832278611,-1.5906307134345188,2.9999775459747915,0.0002022392257517684
5.379228768338337,-8.192306865842701,-1.5773577609769929,2.9999862051790713,0.0016277206277868473
5.37850379808842,-8.492304415764226,-1.5717738798542273,2.9999915250347016,0.0005843591193263207
5.375790689795483,-8.792290088393443,-1.5850469797733717,2.999994793333151,-0.0008192547889297189
5.37027236175523,-9.092238453127656,-1.5906309056042969,2.999996801240038,0.00037593322463248656
5.366741988386663,-9.392216048872433,-1.5773577788634345,2.999998034814673,0.0019019739151242766
5.3660170121067905,-9.692214558192827,-1.571773839255934,2.999998792671718,0.0008217809389056055
5.363303908021112,-9.992200820306048,-1.5850469764530566,2.9999992582676245,-0.0006382969611740633
5.357785577551547,-10.292149547171947,-1.590630921296101,2.999999544310421,0.0004592933846621561
5.354255198269258,-10.592127365332285,-1.5773577801562457,2.99999972004324,0.0019076949300963612
5.353530220094329,-10.89212601132391,-1.5717738333375306,2.9999998280061893,0.000746873210627024
5.350817116496726,-11.192112357413146,-1.585046975965562,2.9999998943341426,-0.000769010769248504
5.345298785669138,-11.492061135867457,-1.5906309235299747,2.999999935083284,0.0002762488691892682
5.341768405543108,-11.792038985712697,-1.5773577803402516,2.999999960117865,0.0016920931201140639
5.341043427098076,-12.092037651174262,-1.571773832494386,2.9999999754980715,0.0005181123612159259
5.3383303235699895,-12.392024009226567,-1.5850469758961114,2.9999999849470322,-0.0009973210645641219
5.332811992691396,-12.691972795030068,-1.5906309238482073,2.999999990752082,6.897741605082011e-05
5.329281612445168,-12.991950649389075,-1.5773577803664642,2.999999994318463,0.001511708010429458
5.328556633961658,-13.29194931762429,-1.571773832374274,2.9999999965094997,0.0004001884888251008
5.325843530443475,-13.591935677380832,-1.5850469758862176,2.9999999978555816,-0.001053815153619182
5.320325199557615,-13.891884464231286,-1.5906309238935414,2.9999999986825583,0.00011091456437399203
5.3167948192942625,-14.191862319233321,-1.5773577803701984,2.9999999991906185,0.0016429812402163205
5.31606984080527,-14.491860987863665,-1.5717738323571626,2.9999999995027493,0.0006734095443615398
5.3133567372884976,-14.791847347862989,-1.585046975884807,2.9999999996945097,-0.0006549000576626065
5.307838406401603,-15.09179613486259,-1.5906309239,2.999999999812319,0.0006903552036013161
5.304308026135811,-15.391773989956231,-1.5773577803707328,2.9999999998846962,0.0023782559538273384
5.304431423420073,-15.691771890577025,-1.5637984729104928,2.999999999929162,0.0016359278984777645
5.307711348557122,-15.991753480857701,-1.5582572187925077,2.9999999999564797,-0.0006596270151541517
5.309046061923457,-16.291749149166314,-1.571535906666234,2.9999999999732627,-0.0028254185638989164
