Steering,Speed
0.02961354668315757,4.915959625654889
0.02961354668315757,4.915959625654889
0.02961354668315757,4.915959625654889
0.029010457167942708,4.915959625654889
0.027314903927135464,4.915959625654889
0.025788716300277514,4.8756390955830655
0.022532878791895736,4.8723652698818505
0.017169451247627684,4.866604122336657
0.009979143260593373,4.79082948841017
0.002892429013545766,4.412860073094141
-0.009012560312161275,4.140191697983199
-0.04012987063896319,3.8059683021812316
-0.09826830380354157,3.4121478706685515
-0.159438503429265,2.930854574188802
-0.18285702064098866,2.457704287015139
-0.17636068641786667,2.1821019647463142
-0.17149049988271095,2.0882254635756086
-0.16952746534420002,2.0882254635756086
-0.16713453603186856,2.1034683352426655
-0.1625982723675241,2.1420896257859465
-0.15527911388753016,2.22686682710207
-0.14644142276472374,2.2488250022361305
-0.1377838762779427,2.2580426661563315
-0.12609472953318251,2.294357379072161
-0.11283280586376317,2.4163667048740454
-0.1010577894640759,2.6478308603152017
-0.0869602948330307,2.9439181373214818
-0.07217591869438929,3.16849844610402
-0.06105119254325123,3.5879184910897144
-0.04657122161418443,3.7982426686138164
-0.03513823119416236,4.207759763745894
-0.020949906401268033,4.5839686053617905
-0.009308424216595881,4.760609029154108
0.0033436450340927383,5.254610863463051
0.012227275898668002,5.559556943061672
0.014120659490047757,5.84887614721801
0.01821086513348544,6.258775949036265
0.019204269253525873,6.5186701326413905
0.02149176253628598,6.892004201895351
0.02251096488859652,7.0
0.02283469936661406,7.0
0.020011953697965882,7.0
0.015348024770796784,7.0
0.007937278123124778,7.0
-0.0006887591212909944,7.0
-0.011040625378283757,7.0
-0.009282173590779966,7.0
-0.006575810811383092,7.0
-0.0020528748847680627,7.0
0.004403142152483477,7.0
0.010294838570623178,7.0
0.00720846580379487,7.0
0.0013617978121525467,7.0
