Steering,Speed
0.02961354668315757,4.915959625654889
0.023381060922669356,4.892229390889583
0.023614732437239966,4.892229390889583
0.023779729219087276,4.892229390889583
0.023397500373235222,4.8756390955830655
0.02322172077367879,4.8756390955830655
0.02276987265988252,4.8756390955830655
0.022862390713413224,4.8756390955830655
0.02250940447007954,4.8756390955830655
0.022253389265635064,4.8756390955830655
0.019923213247245282,4.8723652698818505
0.0161828544758518,4.866604122336657
0.014225404356973463,4.825515319562041
0.009107492755156595,4.79082948841017
0.006866590422365574,4.538436918196633
0.006185102532286057,4.412860073094141
-0.025176005723266684,3.9795694869121223
-0.047542637576852426,3.618709219223125
-0.12725665453046972,3.1780259016629437
-0.17742501623436666,2.704083191602395
-0.2222060553093043,2.457704287015139
-0.23315488786440214,2.0882254635756086
-0.24079943709836382,2.0882254635756086
-0.24031116680479767,2.1420896257859465
-0.2444333656899735,2.188036325291599
-0.22735703769744064,2.22686682710207
-0.21339867876263008,2.2488250022361305
-0.17900232559246065,2.2580426661563315
-0.15150322439113068,2.294357379072161
-0.09968041548285883,2.4163667048740454
-0.041862339069279504,2.6478308603152017
-0.015798755965009202,2.6478308603152017
0.040031655517645,2.9439181373214818
0.07056219407646608,3.16849844610402
0.09899572716080188,3.5879184910897144
0.10681885881652436,3.7982426686138164
0.10990866892538274,4.0064794810266955
0.09119470813019952,4.4000695627190005
0.0810878198283163,4.5839686053617905
0.0554738827399397,4.930848439248797
0.029297334268004408,5.409216432669087
0.012997464334231075,5.409216432669087
-0.02045605482134314,5.988464743618954
-0.04204886504558058,6.0
-0.04966967248031817,6.0
-0.0582600115567952,6.0
-0.05800290726842905,6.0
-0.03317798332859144,6.0
-0.009017006062717294,6.0
0.01633897507176337,6.0
0.043325951318779435,6.0
0.075839882866743,6.0
0.09482761222213881,6.0
0.10905370486812846,6.0
0.105113057458064,6.0
0.08510987224307033,6.0
0.06928998775359071,6.0
0.05317154131235034,6.0
0.0030902103950491253,6.0
-0.021928839531291048,6.0
-0.07450989725326768,6.0
-0.07984638045591122,6.0
-0.08150616584602328,6.0
-0.05738164047717758,6.0
