X,Y,Theta,Speed,Steering
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.014806773341578785
0.0,0.0,0.0,0.0,0.022210160012368176
0.0,0.0,0.0,0.0,0.025911853347762873
0.0,0.0,0.0,0.0,0.02776270001546022
0.0,0.0,0.0,0.0,0.028688123349308897
0.0,0.0,0.0,0.0,0.029150835016233233
7.1325e-05,0.0,0.0,0.014264999999999998,0.0293821908496954
0.038528422497769936,0.00011905831671254032,0.0018587919220198182,0.6306284941543651,0.029497868766426485
0.11016665646043555,0.0009067679967940096,0.00507567694332104,0.9392296057484314,0.02927556964881012
0.22739117439933745,0.0026900441989835097,0.01062317467835295,1.1718675927509705,0.028664609867694958
0.33845520953486075,0.004922908114834101,0.015742980687032313,1.2883448696644695,0.02787813947991602
0.4853781339510642,0.008745976511188747,0.02274724161617778,1.3761509021597027,0.026697963416573243
0.6112869140470637,0.012799242587499413,0.028611047993799203,1.4201136603205669,0.02512559496391272
0.754855213729267,0.018329488147064945,0.03541292783401165,1.4509211493114633,0.023268991904478176
0.9155068919320875,0.02567314206535857,0.04312680442526516,1.4712817196012302,0.021300057498144863
1.0630260438700232,0.03348571113721887,0.05013994468723248,1.4823566807369242,0.018674297537581444
1.196503239032733,0.041439032256344106,0.05640404284795665,1.4886195360297234,0.015573103358718886
1.360169148697815,0.0523655761521079,0.0642866921840873,1.4933407699898964,0.012136774543675826
1.5092317939076394,0.06342534306912122,0.07139170523430577,1.4959088455338172,0.00921275013764169
1.6584147672590435,0.07556020632415231,0.07850745358912682,1.4974865645366249,0.005556323542953719
1.8076320534531374,0.0887671955529705,0.08562980145930306,1.4984558495943454,0.0015343752257134843
1.9420731687689365,0.09971474352669772,0.08129125876797857,1.4990039772111918,-0.00241657740455692
2.0916102907010976,0.11043325609678654,0.07417832307069308,1.4993880849475585,-0.0037472985891015553
2.2412513894330575,0.12007205618678514,0.06704840668166683,1.4996240647948906,-0.003437869124109567
2.3909760885763016,0.12864428548008505,0.05991712532707353,1.4997690410165974,-0.002458489336059075
2.555752536008518,0.13683414133462166,0.05198420217533916,1.4998648553347742,-0.0035218068075607437
2.7056078196294853,0.14316396311979357,0.04485189998642833,1.499916972728096,-0.0028436116809560244
2.8555085611700775,0.14842496854339038,0.03771937957271208,1.4999489914909454,-0.006561943741398129
3.0054455476750106,0.1526167524267531,0.03058672509241826,1.4999686624896098,-0.014628007354847799
3.1404125841939474,0.1554816915953509,0.024255076167671866,1.4999797863767814,-0.02664661587701548
3.305401954618836,0.15593676042378482,0.005648314870496589,1.499988172084486,-0.04219940375832901
3.455355921588677,0.1523800987648912,-0.015734383085753725,1.4999927334197336,-0.058856359363917546
3.6050728131660645,0.14338115677338664,-0.049402337207896246,1.4999955357147496,-0.08957447669472118
3.7541310974879836,0.1268115978871656,-0.09572897162359985,1.4999972573284732,-0.11353755926227867
3.901696973268776,0.10008687571332962,-0.1579127958979172,1.4999983150164735,-0.1326976097502956
4.032717562472562,0.06762998746112112,-0.21559032080356413,1.499998913135673,-0.14765440608631158
4.1893600795021815,0.015990365757928456,-0.29696605842889073,1.4999993640259692,-0.16116988233037016
4.327199587894551,-0.043074731509193304,-0.37541181233678184,1.4999996092839574,-0.17102593249230424
4.459978530357488,-0.11277598474115338,-0.45387295551647744,1.4999997599602835,-0.17904826707700403
4.586885502262242,-0.19267053314786484,-0.5323344822474144,1.4999998525295632,-0.17364879964860314
4.707139820887224,-0.28226640081414744,-0.6107960238238488,1.4999999094002854,-0.17331262062742203
4.820001557642487,-0.3810122887212122,-0.6892575683194686,1.4999999443392966,-0.17471294965693818
4.924776266176204,-0.4883006072024975,-0.7677191144337778,1.4999999658043748,-0.16571907122745677
5.012801193930306,-0.5906395417518203,-0.8289919630119604,1.4999999779428081,-0.16149183289784055
5.11263956035287,-0.7219639945506651,-0.8997192427927091,1.499999987093328,-0.1516973925428404
5.187294776255177,-0.8344207376489542,-0.9574080443063705,1.4999999916748137,-0.14675680864545487
5.269516400417462,-0.9774356843730798,-1.0281112652688338,1.4999999951285528,-0.14492329456619688
5.335344392354007,-1.1121905337005245,-1.0923070779479822,1.4999999970071851,-0.14187076089576822
5.3923920327841355,-1.2508907885810812,-1.1565028904000398,1.4999999981613388,-0.13167136953444505
5.437793744724442,-1.378019147994938,-1.2035183216155547,1.499999998814009,-0.12380140894324262
5.48592679394738,-1.5358210045827994,-1.2583694712614337,1.4999999993060225,-0.11843592385776519
5.522115208422598,-1.6813742991784957,-1.3082998184244732,1.499999999573649,-0.10804316844842488
5.550994354048061,-1.8285522755672254,-1.3582299024583302,1.4999999997380675,-0.0998283393106946
5.574327591653255,-1.9767222228077117,-1.3974869908739826,1.4999999998390796,-0.09178088371115481
5.592903235215953,-2.125559557630382,-1.4331670887201755,1.499999999901137,-0.08454187452250586
5.606175421405739,-2.2749630865535537,-1.468831816296952,1.4999999999392628,-0.07565088333044498
5.61411235416997,-2.4247448254577253,-1.5044961674842985,1.4999999999626856,-0.06771265650354719
5.618925690810449,-2.5746663931827043,-1.527890634053619,1.4999999999770757,-0.059601536316571974
5.620862643572294,-2.7096504141094093,-1.5472476357647964,1.4999999999852134,-0.05271808298669067
5.619727445169871,-2.8746426484315815,-1.5706986791925348,1.4999999999913476,-0.046333741732551545
5.615320108144672,-3.0245750454889637,-1.5920972909915674,1.4999999999946843,-0.0398600704072131
5.607705689557548,-3.174378813542862,-1.6134958953914627,1.4999999999967342,-0.03326424975534034
